"id","idade","genero","estado_civil","renda_familiar","frequencia_cinema","cenario","preco_pequena","preco_media","preco_grande","escolha","valor_gasto","satisfacao","recompra"
506,"36-45","Feminino","Solteiro","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
507,"26-35","Feminino","Solteiro","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
508,"18-25","Masculino","Solteiro","Até 2 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Baixa","Não"
509,"46+","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
510,"18-25","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
511,"18-25","Feminino","Casado","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
512,"36-45","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
513,"18-25","Masculino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
514,"18-25","Feminino","Casado","5-10 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Baixa","Sim"
515,"26-35","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
516,"18-25","Feminino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
517,"18-25","Feminino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
518,"18-25","Masculino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
519,"18-25","Masculino","Casado","Acima 10 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Baixa","Não"
520,"26-35","Feminino","Casado","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
521,"36-45","Masculino","Solteiro","Até 2 SM","Semanalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
522,"46+","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
523,"36-45","Feminino","Outros","Até 2 SM","Semanalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
524,"18-25","Feminino","Casado","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Não"
525,"26-35","Masculino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
526,"26-35","Masculino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
527,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
528,"46+","Feminino","Solteiro","Até 2 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
529,"26-35","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
530,"18-25","Feminino","Solteiro","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
531,"36-45","Feminino","Casado","Acima 10 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
532,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
533,"36-45","Feminino","Casado","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
534,"26-35","Feminino","Solteiro","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
535,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Não"
536,"18-25","Masculino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
537,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
538,"26-35","Masculino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
539,"26-35","Masculino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
540,"18-25","Feminino","Casado","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
541,"26-35","Feminino","Casado","5-10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
542,"46+","Feminino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
543,"26-35","Feminino","Casado","5-10 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
544,"18-25","Masculino","Solteiro","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
545,"26-35","Feminino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
546,"36-45","Feminino","Solteiro","5-10 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
547,"26-35","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Não"
548,"18-25","Masculino","Casado","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Não"
549,"18-25","Feminino","Casado","Até 2 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
550,"18-25","Masculino","Casado","2-5 SM","Semanalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Não"
551,"46+","Feminino","Outros","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
552,"18-25","Masculino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
553,"26-35","Feminino","Solteiro","Até 2 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
554,"18-25","Feminino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
555,"18-25","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
556,"18-25","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
557,"46+","Masculino","Casado","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
558,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
559,"36-45","Masculino","Casado","5-10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
560,"36-45","Masculino","Solteiro","Até 2 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Baixa","Não"
561,"36-45","Feminino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
562,"18-25","Feminino","Casado","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Não"
563,"18-25","Feminino","Casado","Acima 10 SM","Semanalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Não"
564,"18-25","Feminino","Casado","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Média",16,"Baixa","Sim"
565,"18-25","Masculino","Solteiro","Até 2 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
566,"18-25","Masculino","Casado","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
567,"26-35","Masculino","Solteiro","Até 2 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
568,"18-25","Masculino","Casado","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
569,"26-35","Feminino","Outros","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
570,"36-45","Feminino","Solteiro","2-5 SM","Semanalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
571,"26-35","Feminino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
572,"18-25","Feminino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
573,"46+","Masculino","Solteiro","Acima 10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
574,"18-25","Masculino","Casado","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
575,"18-25","Feminino","Outros","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
576,"26-35","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
577,"18-25","Masculino","Solteiro","Acima 10 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Baixa","Sim"
578,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Baixa","Não"
579,"26-35","Feminino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
580,"26-35","Feminino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Média",16,"Média","Não"
581,"18-25","Masculino","Outros","Até 2 SM","Semanalmente","Duas_opcoes",12,16,18,"Grande",18,"Baixa","Não"
582,"46+","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
583,"26-35","Feminino","Outros","Acima 10 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
584,"26-35","Masculino","Outros","2-5 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
585,"18-25","Feminino","Casado","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Média",16,"Baixa","Não"
586,"26-35","Masculino","Outros","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
587,"46+","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
588,"46+","Masculino","Solteiro","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
589,"26-35","Feminino","Solteiro","2-5 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Baixa","Não"
590,"26-35","Masculino","Casado","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
591,"18-25","Masculino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Não"
592,"36-45","Masculino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
593,"18-25","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
594,"46+","Feminino","Solteiro","5-10 SM","Raramente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
595,"36-45","Masculino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
596,"26-35","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
597,"26-35","Feminino","Solteiro","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
598,"18-25","Feminino","Casado","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Não"
599,"18-25","Masculino","Outros","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
600,"26-35","Masculino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Não"
601,"26-35","Feminino","Casado","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
602,"18-25","Feminino","Casado","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Sim"
603,"36-45","Feminino","Outros","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
604,"18-25","Feminino","Solteiro","Acima 10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
605,"26-35","Masculino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
606,"26-35","Feminino","Casado","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
607,"36-45","Masculino","Casado","5-10 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Não"
608,"18-25","Feminino","Casado","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
609,"18-25","Feminino","Solteiro","Até 2 SM","Semanalmente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
610,"26-35","Masculino","Casado","2-5 SM","Raramente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
611,"26-35","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
612,"26-35","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Não"
613,"26-35","Masculino","Solteiro","5-10 SM","Raramente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
614,"18-25","Masculino","Casado","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Pequena",12,"Média","Não"
615,"36-45","Feminino","Casado","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
616,"46+","Masculino","Casado","Até 2 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
617,"18-25","Feminino","Solteiro","Acima 10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
618,"18-25","Feminino","Solteiro","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
619,"26-35","Feminino","Outros","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
620,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Não"
621,"26-35","Masculino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
622,"26-35","Feminino","Casado","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
623,"18-25","Masculino","Solteiro","5-10 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Baixa","Não"
624,"26-35","Feminino","Casado","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
625,"18-25","Masculino","Solteiro","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
626,"26-35","Feminino","Casado","2-5 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
627,"18-25","Feminino","Solteiro","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
628,"18-25","Masculino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Não"
629,"26-35","Feminino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
630,"26-35","Feminino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
631,"18-25","Feminino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
632,"18-25","Feminino","Casado","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
633,"18-25","Feminino","Casado","Até 2 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
634,"18-25","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
635,"26-35","Masculino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Sim"
636,"26-35","Masculino","Casado","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
637,"18-25","Masculino","Casado","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
638,"26-35","Masculino","Solteiro","Acima 10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
639,"36-45","Feminino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Não"
640,"26-35","Masculino","Solteiro","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
641,"18-25","Feminino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Não"
642,"18-25","Feminino","Outros","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
643,"26-35","Masculino","Solteiro","5-10 SM","Semanalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
644,"36-45","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
645,"26-35","Feminino","Casado","Até 2 SM","Semanalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
646,"26-35","Feminino","Solteiro","Até 2 SM","Raramente","Duas_opcoes",12,16,18,"Grande",18,"Média","Sim"
647,"26-35","Masculino","Outros","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
648,"18-25","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Baixa","Não"
649,"46+","Feminino","Solteiro","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Sim"
650,"46+","Feminino","Solteiro","Até 2 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
651,"18-25","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Média","Não"
652,"46+","Feminino","Solteiro","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
653,"36-45","Feminino","Solteiro","5-10 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Baixa","Não"
654,"26-35","Masculino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Média",16,"Média","Não"
655,"26-35","Masculino","Casado","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Não"
656,"26-35","Masculino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
657,"18-25","Feminino","Casado","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
658,"18-25","Feminino","Casado","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
659,"26-35","Masculino","Casado","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
660,"18-25","Masculino","Solteiro","5-10 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
661,"36-45","Masculino","Solteiro","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
662,"46+","Feminino","Outros","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Baixa","Não"
663,"18-25","Feminino","Solteiro","2-5 SM","Semanalmente","Três_opcoes",12,16,18,"Média",16,"Baixa","Não"
664,"36-45","Masculino","Casado","Acima 10 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
665,"18-25","Feminino","Outros","Até 2 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
666,"36-45","Feminino","Solteiro","Até 2 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Sim"
667,"26-35","Masculino","Outros","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
668,"18-25","Feminino","Outros","2-5 SM","Semanalmente","Três_opcoes",12,16,18,"Média",16,"Baixa","Sim"
669,"36-45","Feminino","Solteiro","Até 2 SM","Raramente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
670,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
671,"26-35","Feminino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
672,"36-45","Feminino","Solteiro","5-10 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
673,"18-25","Feminino","Outros","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Média","Não"
674,"18-25","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
675,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
676,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
677,"18-25","Masculino","Casado","Acima 10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
678,"18-25","Feminino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Não"
679,"18-25","Feminino","Outros","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
680,"18-25","Masculino","Casado","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
681,"26-35","Feminino","Solteiro","Acima 10 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
682,"36-45","Masculino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
683,"26-35","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
684,"46+","Masculino","Casado","5-10 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
685,"18-25","Feminino","Solteiro","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
686,"36-45","Masculino","Casado","2-5 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
687,"18-25","Feminino","Casado","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
688,"18-25","Feminino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
689,"26-35","Masculino","Solteiro","Até 2 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Sim"
690,"26-35","Masculino","Casado","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Não"
691,"26-35","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
692,"18-25","Feminino","Casado","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
693,"36-45","Feminino","Casado","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
694,"36-45","Feminino","Casado","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
695,"18-25","Feminino","Casado","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
696,"26-35","Feminino","Outros","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
697,"26-35","Masculino","Casado","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
698,"46+","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
699,"46+","Feminino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
700,"26-35","Masculino","Casado","5-10 SM","Quinzenalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Sim"
701,"36-45","Feminino","Casado","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
702,"26-35","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
703,"18-25","Feminino","Solteiro","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
704,"26-35","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
705,"36-45","Masculino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
706,"26-35","Masculino","Solteiro","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
707,"18-25","Feminino","Casado","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
708,"18-25","Feminino","Solteiro","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
709,"18-25","Masculino","Outros","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
710,"26-35","Masculino","Casado","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Sim"
711,"36-45","Masculino","Solteiro","2-5 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Sim"
712,"36-45","Feminino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Sim"
713,"18-25","Feminino","Solteiro","Acima 10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
714,"26-35","Feminino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Pequena",12,"Média","Não"
715,"36-45","Feminino","Solteiro","Até 2 SM","Quinzenalmente","Três_opcoes",12,16,18,"Pequena",12,"Alta","Não"
716,"26-35","Masculino","Solteiro","2-5 SM","Raramente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
717,"18-25","Feminino","Casado","5-10 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Não"
718,"18-25","Feminino","Casado","Até 2 SM","Mensalmente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
719,"18-25","Masculino","Solteiro","Acima 10 SM","Semanalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Sim"
720,"26-35","Feminino","Solteiro","2-5 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
721,"18-25","Feminino","Solteiro","2-5 SM","Quinzenalmente","Três_opcoes",12,16,18,"Grande",18,"Média","Não"
722,"26-35","Feminino","Solteiro","5-10 SM","Raramente","Duas_opcoes",12,16,18,"Grande",18,"Alta","Sim"
723,"18-25","Masculino","Solteiro","Até 2 SM","Raramente","Três_opcoes",12,16,18,"Grande",18,"Alta","Sim"
724,"18-25","Masculino","Casado","5-10 SM","Raramente","Três_opcoes",12,16,18,"Média",16,"Média","Sim"
725,"18-25","Masculino","Outros","Até 2 SM","Quinzenalmente","Duas_opcoes",12,16,18,"Pequena",12,"Média","Não"
726,"36-45","Feminino","Solteiro","2-5 SM","Mensalmente","Duas_opcoes",12,16,18,"Grande",18,"Média","Não"
727,"18-25","Feminino","Solteiro","5-10 SM","Mensalmente","Três_opcoes",12,16,18,"Média",16,"Alta","Não"
728,"18-25","Masculino","Solteiro","5-10 SM","Mensalmente","Duas_opcoes",12,16,18,"Pequena",12,"Alta","Sim"
